passenger_id,passenger_name,home_airport_code,frequent_flyer_tier
701452,Saanvi Reddy,KUL,Silver
700278,Ishaan Gupta 278,SIN,Silver
700602,Tara Malhotra,DEL,Silver
701121,Anjali Gupta,DEL,Gold
700681,Harsh Patel 681,HKG,Gold
700558,Dev Kulkarni 558,BLR,Platinum
700578,Pooja Shetty,GOI,Platinum
701332,Kavya Reddy 1332,CCU,Platinum
701447,Varun Naidu,HKG,Gold
700616,Sneha Ghosh 616,MAA,Gold
701245,Vivaan Bose,CMB,Silver
700756,Gaurav Kapoor,MAA,Platinum
700800,Kabir Sharma 800,AUH,Gold
701395,Sana Rao 1395,SFO,Gold
700778,Shreya Patel,FRA,Gold
700266,Aarav Joshi,PNQ,Silver
700430,Aryan Chopra,HKG,Gold
700824,Vikram Joshi,KTM,Silver
700692,Yash Nair 692,AMD,Gold
700149,Nisha Joshi,DOH,Silver
700721,Aryan Bhat 721,MAA,Silver
700980,Harsh Ghosh 980,KUL,Silver
700045,Riya Verma,JFK,Gold
700449,Nikhil Patel 449,PNQ,Silver
700227,Riya Rao,CMB,Silver
700730,Divya Gupta 730,LHR,Silver
700767,Arjun Nair,SIN,Gold
700561,Pooja Naidu,GOI,Gold
700839,Divya Malhotra 839,MAA,Gold
701093,Diya Patel 1093,BOM,Platinum
701337,Diya Joshi,DOH,Platinum
701406,Aisha Shetty,GOI,Silver
700387,Yash Desai,HYD,Platinum
700539,Sana Pillai,JFK,Gold
700737,Rohan Malhotra,MAA,Platinum
701025,Neha Kulkarni 1025,BKK,Silver
700727,Kabir Shetty 727,AMD,Silver
701278,Siddharth Ghosh,BKK,Silver
700629,Divya Verma 629,KUL,Gold
700793,Aman Verma,BLR,Gold
701393,Nisha Kulkarni,DEL,Gold
700000,Kabir Sharma,PNQ,Silver
700961,Dev Kulkarni 961,DOH,Silver
700319,Harsh Das 319,HKG,Platinum
700734,Saanvi Singh,FRA,Gold
701328,Neha Menon 1328,AMD,Silver
701318,Tara Sharma 1318,SFO,Gold
700790,Sneha Malhotra 790,LHR,Silver
700130,Nisha Bhat,COK,Silver
700339,Ritu Malhotra,SFO,Silver
700770,Rohan Naidu,KTM,Silver
701352,Ananya Gupta 1352,BLR,Silver
700368,Neha Bose,HYD,Silver
700348,Anjali Mehta,CCU,Silver
700147,Gaurav Malhotra,MAA,Platinum
701240,Ananya Patel 1240,CDG,Silver
700390,Aryan Mehta 390,CDG,Gold
700091,Nikhil Patel 91,SFO,Silver
700722,Pooja Bose 722,BLR,Gold
701156,Lakshmi Bose 1156,KUL,Platinum
700005,Aryan Das,HKG,Platinum
700580,Vivaan Desai,SFO,Silver
701301,Ananya Bhat 1301,HKG,Gold
701053,Lakshmi Gupta 1053,SIN,Gold
701467,Aarav Ghosh,SFO,Gold
701068,Harsh Malhotra 1068,HYD,Silver
700221,Arjun Naidu,DEL,Silver
700456,Shreya Desai,HYD,Silver
701188,Diya Menon 1188,BLR,Silver
700676,Saanvi Malhotra 676,DXB,Platinum
700958,Rohan Joshi,BKK,Silver
700194,Rahul Rao,KUL,Gold
700104,Riya Patel,DOH,Silver
700575,Vikram Shetty,HYD,Silver
700158,Ishaan Iyer,HYD,Silver
701239,Pooja Joshi,SFO,Gold
700307,Dev Mehta 307,CDG,Silver
700707,Saanvi Menon 707,SIN,Gold
700613,Saanvi Gupta,AMD,Silver
700257,Anjali Singh,KUL,Silver
700664,Aisha Nair 664,BKK,Gold
700304,Tara Gupta,DEL,Silver
701058,Ritu Kapoor,BOM,Gold
700516,Kabir Bose 516,BOM,Gold
701326,Arjun Nair 1326,CMB,Gold
701226,Saanvi Desai,SFO,Silver
700814,Anjali Joshi,DEL,Silver
700873,Shreya Verma 873,HKG,Silver
700523,Divya Verma,FRA,Silver
701443,Nikhil Sharma 1443,BKK,Gold
700838,Ritu Kulkarni 838,MAA,Silver
700718,Shreya Nair,DOH,Silver
700542,Neha Rao,CCU,Gold
700393,Divya Gupta,DEL,Silver
701489,Meera Ghosh 1489,JFK,Silver
701428,Priya Naidu 1428,AUH,Silver
700586,Priya Ghosh 586,LHR,Silver
700625,Tara Malhotra 625,PNQ,Silver
701154,Siddharth Nair 1154,HYD,Gold
700871,Sneha Bose,SIN,Silver
700216,Gaurav Das,HYD,Silver
700955,Aisha Sharma 955,LHR,Silver
701036,Arjun Pillai,PNQ,Platinum
701422,Neha Kulkarni 1422,DXB,Silver
700624,Nisha Desai,GOI,Platinum
701486,Ritu Bose 1486,SIN,Silver
700467,Dev Iyer 467,KTM,Silver
700647,Kabir Menon 647,MAA,Platinum
700896,Meera Nair,HYD,Silver
700934,Ishaan Kapoor,SFO,Silver
700812,Ritu Das,KUL,Silver
701316,Aman Naidu 1316,LHR,Silver
700560,Anjali Verma 560,DEL,Gold
701161,Varun Menon 1161,HYD,Silver
701385,Karan Singh 1385,DXB,Silver
701315,Harsh Malhotra 1315,HYD,Silver
701023,Dev Shetty,CDG,Silver
700096,Varun Desai,AMD,Silver
701412,Karan Kapoor,DXB,Silver
700249,Varun Bhat,KTM,Silver
701490,Ishaan Chopra 1490,COK,Platinum
701056,Nikhil Sharma,SIN,Silver
700320,Ananya Rao,CCU,Silver
700301,Gaurav Menon,DXB,Gold
701336,Riya Sharma 1336,CDG,Gold
701059,Harsh Bhat 1059,JFK,Platinum
700178,Aisha Rao,FRA,Silver
700675,Dev Kapoor,MAA,Gold
700318,Rahul Bhat,HYD,Silver
700499,Yash Kulkarni,GOI,Platinum
701267,Ishaan Bose 1267,CMB,Silver
701361,Pooja Gupta 1361,JFK,Gold
701204,Sana Rao,CDG,Silver
700809,Vivaan Das 809,JFK,Gold
701425,Rahul Mehta 1425,COK,Gold
700190,Saanvi Naidu,MAA,Silver
701021,Divya Verma 1021,DOH,Gold
700511,Nikhil Joshi,DXB,Silver
700657,Harsh Ghosh 657,COK,Silver
701152,Vikram Kapoor 1152,CCU,Gold
700340,Diya Patel,MAA,Gold
701277,Tara Shetty,CMB,Silver
700807,Kavya Patel,KTM,Gold
700146,Manish Ghosh,MAA,Gold
700258,Vikram Ghosh,AMD,Platinum
701445,Gaurav Das 1445,CDG,Platinum
701498,Yash Menon 1498,GOI,Silver
701047,Pooja Malhotra 1047,PNQ,Silver
701438,Rohan Sharma 1438,SIN,Silver
